date,amount,place
01/08/2017,"-15,83",K supermarket Posti Helsinki
02/08/2017,"-4,99",K supermarket Kaisa HELSINKI
02/08/2017,"-10,3",RAVINTOLA INDIA HOU HELSINKI
02/08/2017,-3,FLYING TIGER COPENH HELSINKI
02/08/2017,300,SHAFIQ OMER
03/08/2017,"-19,75",K supermarket Pohjo Helsinki
04/08/2017,"-4,18",K supermarket Posti Helsinki
04/08/2017,"-3,8",K supermarket Kaisa HELSINKI
04/08/2017,"-5,9",PICNIC KAMPPI       HELSINKI
04/08/2017,"-15,08",ALEPA POHJOIS HAAGA HELSINKI
04/08/2017,200,PASANEN ELSE INGRID
05/08/2017,"-215,46",SATOKOTI OY
07/08/2017,-100,CHANGEGROUP ATM2 LS VANTAA
07/08/2017,"-8,5",MATHYRUBAN          HELSINKI
07/08/2017,"-5,18",ALEPA POHJOIS HAAGA HELSINKI
07/08/2017,-100,Via Ripetta ang.Via Roma
07/08/2017,"-59,95",ZARA BOCCONI        ROMA
07/08/2017,-30,CALVIN KLEIN        ROMA
08/08/2017,"-19,55",UBER TRIP UDU3D HEL help.uber.com
08/08/2017,"-5,2",ITALIAN FOODS       FIUMICINO
08/08/2017,-4,VENCHI              FIUMICINO
08/08/2017,"-42,55",CNP RISTORANTE DI R ROMA
09/08/2017,100,SHAFIQ OMER
09/08/2017,-65,RADISSON BLU ES HOT ROMA
09/08/2017,"-9,72",WWW.ALIEXPRESS.COM  INTERNET
09/08/2017,-12,LA TORREFAZIONE KAM HELSINKI
09/08/2017,"-7,98",ALEPA POHJOIS HAAGA HELSINKI
09/08/2017,-26,VR
10/08/2017,200,SHAFIQ OMER
10/08/2017,"-2,59",K supermarket Kaisa HELSINKI
10/08/2017,"-10,3",RAVINTOLA INDIA HOU HELSINKI
10/08/2017,"-11,2",R KAUKLAHTI ASEMA   ESPOO
11/08/2017,"-44,5",THE LUCKY BASTA     ESPOO
11/08/2017,"-2,65",ALEPA POHJOIS HAAGA HELSINKI
14/08/2017,"-3,8",K supermarket Posti Helsinki
14/08/2017,"-21,3",K supermarket Posti Helsinki
14/08/2017,"-4,45",ALEPA POHJOIS HAAGA HELSINKI
14/08/2017,"-9,2",Stockmann Tampere   Tampere
14/08/2017,"-3,95",Juvenes             Tampere
14/08/2017,"-37,95",Suomalainen Kirjaka 00100 Helsink
14/08/2017,"-6,9",HABIBI HELSINKI TRA HELSINKI
14/08/2017,"-14,2",JULIETT SERVICE OY  HELSINKI
14/08/2017,"-0,95",ALEPA POHJOIS HAAGA HELSINKI
14/08/2017,"-0,89",ALEPA KAMPIN KESKUS HELSINKI
14/08/2017,"-4,8",R HKI R-AS. LANSISI HELSINKI
14/08/2017,1000,SHAFIQ OMER
15/08/2017,"-7,2",OSUUSPANKKI
15/08/2017,-900,Transferwise        London
15/08/2017,"-4,48",K SUPERMARKET KAMPP HELSINKI
16/08/2017,"-11,3",KAPPELI             HELSINKI
17/08/2017,-12,MATHYRUBAN          HELSINKI
17/08/2017,"-6,48",K SUPERMARKET KAMPP HELSINKI
18/08/2017,"-2,29",ITUNES.COM/BILL     ITUNES.COM
18/08/2017,-9,MATHYRUBAN          HELSINKI
18/08/2017,-1,ISS Palvelut Oy     ISS
19/08/2017,"-19,9",Fitness24seven OY
19/08/2017,-40,
21/08/2017,-10,MATHYRUBAN          HELSINKI
21/08/2017,"-2,5",R KAUKLAHTI ASEMA   ESPOO
21/08/2017,"-18,86",Apteekki Toolo      HELSINKI
21/08/2017,"-11,38",ALEPA POHJOIS HAAGA HELSINKI
21/08/2017,100,SHAFIQ OMER
21/08/2017,-10,MATHYRUBAN          HELSINKI
21/08/2017,"-4,2",Pure Hero Oy        HELSINKI
22/08/2017,-15,RAVINTOLA INDIA HOU HELSINKI
23/08/2017,-1,ISS Palvelut Oy     ISS
23/08/2017,"-11,8",PICNIC KAMPPI       HELSINKI
24/08/2017,-10,MATHYRUBAN          HELSINKI
24/08/2017,"-4,99",CLAS OHLSON KAM     HELSINKI
24/08/2017,"-7,98",ALEPA POHJOIS HAAGA HELSINKI
24/08/2017,"-28,15",STADIUM KAMPPI3133  HELSINKI
24/08/2017,"-8,3",R POHJOIS-HAAGA     HELSINKI
25/08/2017,"-10,8",ASSARESTA OY        HELSINKI
25/08/2017,100,SHAFIQ OMER
28/08/2017,"-14,7",PRISMA KANNELMAKI   HELSINKI
28/08/2017,"-7,7",R HKI KAMPIN KESKUS HELSINKI
28/08/2017,-3,ISS Palvelut        ISS
28/08/2017,"-10,5",ALEPA POHJOIS HAAGA HELSINKI
29/08/2017,-10,MATHYRUBAN          HELSINKI
29/08/2017,"-18,52",K supermarket Pohjo Helsinki
29/08/2017,"-12,99",Apteekki Express    Helsinki
30/08/2017,"-6,98",ITUNES.COM/BILL     ITUNES.COM
30/08/2017,"-2,1",LIDL  HELSINKI  KAM HELSINKI
31/08/2017,"1934,5",TIETO FINLAND OY
31/08/2017,-1500,SHAFIQ OMER
31/08/2017,"-11,9",Kotipizza Ala-Malmi Helsinki
04/09/2017,-18,MATHYRUBAN          HELSINKI
04/09/2017,"-34,8",VIROLAINEN SEPPO    HELSINKI
04/09/2017,-1,ISS Palvelut Oy     ISS
04/09/2017,"-7,94",ALEPA POHJOIS HAAGA HELSINKI
04/09/2017,"-14,35",ALEPA POHJOIS HAAGA HELSINKI
04/09/2017,"-2,15",ALEPA POHJOIS HAAGA HELSINKI
04/09/2017,43,MURTAZA ADNAN ALI
04/09/2017,-13,MATHYRUBAN          HELSINKI
04/09/2017,-10,MATHYRUBAN          HELSINKI
04/09/2017,"-10,8",ASSARESTA OY        HELSINKI
04/09/2017,"-9,3",ALEPA POHJOIS HAAGA HELSINKI
04/09/2017,600,SHAFIQ OMER
05/09/2017,"-215,46",SATOKOTI OY
05/09/2017,"-9,41",WWW.ALIEXPRESS.COM  INTERNET
05/09/2017,"-16,47",ALEPA POHJOIS HAAGA HELSINKI
05/09/2017,"-8,13",ALEPA POHJOIS HAAGA HELSINKI
05/09/2017,"-6,01",ALEPA POHJOIS HAAGA HELSINKI
06/09/2017,"-5,9",PICNIC ITAKESKU     HELSINKI
06/09/2017,"-8,4",PICNIC ITAKESKU     HELSINKI
07/09/2017,-9,ALEPA POHJOIS HAAGA HELSINKI
08/09/2017,"-17,4",TMI HAULER FOOD     HELSINKI
08/09/2017,"-7,9",PICNIC KAMPPI       HELSINKI
08/09/2017,"-2,5",R KAUKLAHTI ASEMA   ESPOO
10/09/2017,339,SHAFIQ OMER
11/09/2017,"-8,76",WWW.ALIEXPRESS.COM  LONDON
11/09/2017,"-7,2",ISS Palvelut        ISS
11/09/2017,-5,Mroom Malminrinne   Helsinki
11/09/2017,"-6,5",ASSARESTA OY        HELSINKI
11/09/2017,"-11,69",ALEPA POHJOIS HAAGA HELSINKI
11/09/2017,"-2,5",R KAUKLAHTI ASEMA   ESPOO
